filepath,pii_hash,category,event_code,methodology,confidence_score
/Users/webdev/Documents/Complyable/small_batch/lebenslauf_anna_mueller.pdf,0a5021255973689d14938f512754626b4cd797fada7a0b686ffe9515617d84e7,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,5055c9148e306a0a099a6a67c65662d4aefe982609b5778f4ce05c54e83a4ae5,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,4f311213ea90a42299e61213d5adcc25c16f8e081565ca19f3c4940f78035c96,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,554cc477587db5c33dae7d9505a7fd1241ba22d450940cf2bae0eac549c6219e,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,fe033cfbdef717e43cca8dfb53c44434de58dea140bcb6391195387324402878,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/234-vertriebsingenieur-lebenslauf.pdf,11eb3890c7358e243299891c0debb1cece829ff97849e319022236e2ac844b83,Privacy,T1-RGX,Deterministic REGEX Matching,1.0
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,0ec17fc71c4d0d90312d5d7b5da085f4ba99c11fc0e50731055bdf6b397ff81e,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,f91008207ef499cd19c3be622e3f4c8a62cbce0fe6bcdea34882dabe49a5d49c,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,dad114b6ed7342bac65c79575f6c7ff761ec26b52c1f5f7a9110532973d05df2,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,e03bb8a19b6aa9c82cce531705a29664253574d81e2c04168870ae53d18be351,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,dad114b6ed7342bac65c79575f6c7ff761ec26b52c1f5f7a9110532973d05df2,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,47afcff3dcb9e9891e7b329e65a7ea4e9f42f7176299c068a3e8a95f6bd705cf,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,dad114b6ed7342bac65c79575f6c7ff761ec26b52c1f5f7a9110532973d05df2,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/313-lebenslauf-einer-erzieherin.pdf,65119ff9eada47bcc2ddff6a0d59d909fe04367c3159b938d1620919ff18653c,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,06b23a2c049e2d3fc306b15419b22b47272da9632b092f1e2a51f6c910b373d0,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,c075b9c24a3d0f0cdad3e99683ed2514981e4ff40c6c0056de53e5e56e052227,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,71b4f3a3748cd6843c01e293e701fce769f52381821e21daf2ff4fe9ea57a6f3,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,7580e51171e610a887b8548667cb82a07100fc8da33d18ed86f0314451b6ef0b,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,c075b9c24a3d0f0cdad3e99683ed2514981e4ff40c6c0056de53e5e56e052227,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,af6e56aacd8097c3fb7597b08ecb3d87a040f6ab58067a4b8ff9f5b747adb9be,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/275-lebenslauf-vorlage-schüler.pdf,94666c8824a80401cc53f85069615b39616d05058ffb1e36beb7093e1bbaf409,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/275-lebenslauf-vorlage-schüler.pdf,dad114b6ed7342bac65c79575f6c7ff761ec26b52c1f5f7a9110532973d05df2,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/275-lebenslauf-vorlage-schüler.pdf,af6e56aacd8097c3fb7597b08ecb3d87a040f6ab58067a4b8ff9f5b747adb9be,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/275-lebenslauf-vorlage-schüler.pdf,7f51ee44529574f764e001c66fe1d8fe682a4e4fdbb3cf4df616963fd947331b,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/275-lebenslauf-vorlage-schüler.pdf,dad114b6ed7342bac65c79575f6c7ff761ec26b52c1f5f7a9110532973d05df2,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/275-lebenslauf-vorlage-schüler.pdf,6814ef46f686990cf4e946f966167b0507e1d642c44e51f61bffb0bba2d4672b,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/275-lebenslauf-vorlage-schüler.pdf,384283b118f398a667f3026592358cc3cefaa0cac8d5a86a8702f975ef4eb7ac,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/Lebenslauf_persoenlich_junior copy.pdf,257d0c535f5c3186b05ec9e303a24b7f00e4ddeef056e511d5108190f2cb8e89,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/Lebenslauf_persoenlich_junior copy.pdf,2318776eed9ae62ec1c5640ebc0c673cc72274c5af8f484ecbb416a198fcaaa9,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/Lebenslauf_persoenlich_junior copy.pdf,cba156a671524f06b9b6bf0c7cf4f80ea24a7e630d47391b9d575358289f5abc,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/Lebenslauf_persoenlich_junior copy.pdf,2318776eed9ae62ec1c5640ebc0c673cc72274c5af8f484ecbb416a198fcaaa9,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/Lebenslauf_persoenlich_junior copy.pdf,fc3872c12cb13dc05d5fd811d319324ccc1e1ef90c08476cbd64bf254a216372,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/243-lebenslauf-ausbildung.docx,9ce4e9689c826e407c8d4d00b757824fa6518e08b7b11f5fc908d38d44f3cd38,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/243-lebenslauf-ausbildung.docx,bc278e4754bd4dec621c5f2844072837b71bfeb66480938a0bcad9a11ab563e0,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/243-lebenslauf-ausbildung.docx,f7e898f114a558333016790c8b8ba3aa0118d7dc4fb8dd451a0fdca583f8a66d,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/243-lebenslauf-ausbildung.docx,dbe8ce381da4cba8821626b7d3f32a4ecc4045d5d585704e97b65300ca629a2a,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/243-lebenslauf-ausbildung.docx,028ffac895cba8386cfe9060ba0818d4f1dabd95fd2c694593f225bcd3067ad4,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/243-lebenslauf-ausbildung.docx,e03bb8a19b6aa9c82cce531705a29664253574d81e2c04168870ae53d18be351,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/243-lebenslauf-ausbildung.docx,af6e56aacd8097c3fb7597b08ecb3d87a040f6ab58067a4b8ff9f5b747adb9be,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/243-lebenslauf-ausbildung.docx,98e84bcb60524e1b6d59b328fbf2eb9297187a31db64c0307c32266c213e5252,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/243-lebenslauf-ausbildung.docx,384283b118f398a667f3026592358cc3cefaa0cac8d5a86a8702f975ef4eb7ac,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/243-lebenslauf-ausbildung.docx,a96f37052c23114b163ee513d7456b527421b6b30b6a5846bcd9c83faa595bb2,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/243-lebenslauf-ausbildung.docx,c075b9c24a3d0f0cdad3e99683ed2514981e4ff40c6c0056de53e5e56e052227,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/243-lebenslauf-ausbildung.docx,076be49c6e5ea6922b83da2a20f8f86dcf6682d988f38320e8fe3603044f1aae,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/243-lebenslauf-ausbildung.docx,7d8ba31ecd3cd673d67e93024612a0d699c1a929fd6f59e12733208f35919416,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/243-lebenslauf-ausbildung.docx,028ffac895cba8386cfe9060ba0818d4f1dabd95fd2c694593f225bcd3067ad4,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/lebenslauf_anna_mueller.pdf,94666c8824a80401cc53f85069615b39616d05058ffb1e36beb7093e1bbaf409,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/lebenslauf_anna_mueller.pdf,dad114b6ed7342bac65c79575f6c7ff761ec26b52c1f5f7a9110532973d05df2,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/lebenslauf_anna_mueller.pdf,af6e56aacd8097c3fb7597b08ecb3d87a040f6ab58067a4b8ff9f5b747adb9be,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
/Users/webdev/Documents/Complyable/small_batch/lebenslauf_anna_mueller.pdf,7f51ee44529574f764e001c66fe1d8fe682a4e4fdbb3cf4df616963fd947331b,Privacy,T2-NER,Probabilistic Named Entitiy Recognition,1.0
